Gene Symbol,probe1,probe2,probe3,probe4,probe5,probe6,,probe1,probe2,probe3,probe4,probe5,probe6,,probe1,probe2,probe3,probe4,probe5,probe6
DLL1,0.0916971,0.06755,0.0156028,0.0303387,0.4120489,0.1531175,,0.0959932,0.1106409,0.0084754,0.0350992,0.4121628,0.2320604,,0.099191,0.0860063,0.0106526,0.0443565,0.3285701,0.1382212
DLK1,0.0937559,0.2448034,0.0169345,0.0510629,0.3249338,0.166879,,0.0861695,0.2178895,0.0100006,0.0322622,0.1979569,0.1626808,,0.0819562,0.1337621,0.0072983,0.0325432,0.2385703,0.175458
11-Sep,0.0893768,0.1638063,0.0169636,0.020295,0.4073021,0.2654127,,0.0912785,0.183877,0.0192913,0.0202559,0.5131498,0.2315977,,0.09829,0.0863995,0.0111165,0.0091465,0.3382104,0.210159
DIRAS1,0.1575153,0.0693878,0.0123075,0.0102309,0.2819068,0.1307225,,0.2008208,0.0748931,0.0081655,0.0088035,0.3278967,0.1515087,,0.1460622,0.0630264,0.0069145,0.0112591,0.2258549,0.1480815
AAMP,0.2326397,0.3401402,0.0155241,0.0598153,0.6111729,0.2788226,,0.2462481,0.249687,0.0146994,0.0542124,0.4782689,0.2475293,,0.1862268,0.1894202,0.0102526,0.0411783,0.5295194,0.1852183
DEDD,0.1546942,0.0874451,0.0151671,0.0249041,0.2625226,0.1504142,,0.1146203,0.055878,0.0111608,0.0151856,0.2091413,0.157535,,0.129264,0.034598,0.0061467,0.0163788,0.1865347,0.1414101
ABCB4,0.0464249,0.0645285,0.0075732,0.0217339,0.2262103,0.2089722,,0.039967,0.1255463,0.0139884,0.013339,0.3199357,0.1636398,,0.0549853,0.0681961,0.0121396,0.0199947,0.3986437,0.2070876
DDB2,0.1037822,0.0760946,0.0124177,0.0241513,0.2999492,0.1247798,,0.1154735,0.1148912,0.01367,0.0187038,0.2853723,0.1739986,,0.1043279,0.0424615,0.006364,0.0189877,0.2207058,0.1196641
ABCC10,0.1136648,0.1468697,0.0126043,0.0168509,0.3018713,0.2170293,,0.1225922,0.1073517,0.0163768,0.0116309,0.3953163,0.1828187,,0.0743651,0.1064595,0.0097849,-0.0027398,0.2679101,0.2111578
DAZ,0.1386431,0.1193766,0.021018,0.027028,0.307989,0.3019103,,0.1149557,0.1364951,0.0149908,0.0263917,0.3025379,0.2541728,,0.1881375,0.1295781,0.0133939,0.0202466,0.2804931,0.3460608
ABCD3,0.1219254,0.0436931,0.0234697,0.0260775,0.2090455,0.0712607,,0.1111351,0.0373656,0.0254828,0.0286424,0.2961772,0.0790584,,0.0913782,0.0244862,0.0286044,0.0234845,0.3426961,0.0549827
DAXX,0.0694027,0.1037137,0.0122958,0.0236937,0.2998212,0.2521605,,0.0581403,0.129088,0.0109053,0.0220642,0.2585247,0.26645,,0.0777488,0.0452931,0.0068466,0.0103358,0.1991449,0.2541154
ABCG5,0.2526558,0.2487306,0.0412152,0.0817762,0.4173859,0.3188619,,0.1656827,0.2210221,0.0486316,0.0593641,0.4227593,0.2503687,,0.1054285,0.1828021,0.0115782,0.0295022,0.3337641,0.2553886
DATF1,0.1434324,0.3395741,0.0222684,0.0421375,0.4112528,0.4803072,,0.1139694,0.1629141,0.01385,0.0281696,0.2023515,0.3358636,,0.0904861,0.0958771,0.0086256,0.0197394,0.2688042,0.3134252
ABCG8,0.1739508,0.06685,0.0158457,0.0208297,0.1883068,0.292726,,0.1204655,0.0441528,0.0140902,0.0196832,0.150313,0.215359,,0.1280556,0.0374138,0.008706,0.0126182,0.2182565,0.1645878
DACH2,0.1299763,0.1071362,0.0135064,0.0274886,0.3427479,0.1959344,,0.1432628,0.0705765,0.0092559,0.0267469,0.3133406,0.207612,,0.1295466,0.056463,0.0082514,0.0278189,0.2589164,0.1776403
ABTB1,0.1528898,0.048111,0.0259328,0.0294254,0.2109548,0.2520805,,0.1433678,0.0279421,0.015946,0.025894,0.2206108,0.286955,,0.1321411,0.0416868,0.0256304,0.016555,0.2675732,0.2314712
DACH1,0.0837984,0.1566698,0.0195314,0.0265368,0.2948362,0.2428668,,0.1242055,0.1186556,0.0202205,0.0163915,0.2846358,0.227244,,0.0916774,0.1355809,0.0132153,0.0236105,0.230963,0.2597159
ACYP2,0.1197696,0.0673997,0.0077087,0.0197203,0.3102631,0.1682648,,0.0986147,0.0476401,0.0056225,0.0148986,0.3357156,0.126727,,0.0993718,0.0322086,0.0059028,0.0158092,0.2866693,0.097909
ADD2,0.1125105,0.0610823,0.0284208,0.0255336,0.2959377,0.1273073,,0.1105017,0.0389267,0.0296346,0.0354108,0.4917326,0.1140177,,0.1105216,0.0138837,0.0157105,0.0138837,0.4046369,0.129703
LIN7A,0.0721666,0.0941861,0.006158,0.0209869,0.2222971,0.076894,,0.0858555,0.1105143,0.0061084,0.0247433,0.2479112,0.0937232,,0.1395279,0.1149443,0.0123369,0.0215144,0.276799,0.0917749
LIMD1,0.0535646,0.0699824,0.0039496,0.0147399,0.2208151,0.0912534,,0.0554129,0.0604889,0.0006043,0.013959,0.2325287,0.0771974,,0.0821092,0.0460355,0.0020527,0.0074562,0.1967301,0.0703362
DNAH11,0.0798642,0.1492692,0.009351,0.0171365,0.2875666,0.2352427,,0.0710019,0.1493129,0.0080461,0.0095816,0.2571977,0.2365758,,0.0488419,0.0751,0.005153,0.0117848,0.2181976,0.1818575
LHFP,0.1233551,0.1060258,0.0385718,0.0426712,0.4401281,0.5597565,,0.0950629,0.0969318,0.0114624,0.0149509,0.2726051,0.4214913,,0.0582074,0.03582,0.0060894,0.0076117,0.293455,0.2505606
DNAH5,0.0855526,0.1364627,0.0222265,0.0231327,0.2384643,0.1061931,,0.1091043,0.1404552,0.0193409,0.0090075,0.2518212,0.0803465,,0.1187203,0.0724856,0.0161112,0.0160816,0.2519851,0.0840443
LGALS8,0.0768254,0.1326056,0.0098632,0.0159558,0.3150288,0.2737928,,0.0797583,0.1139236,0.0060686,0.0122948,0.3413767,0.2716472,,0.0930881,0.1010213,0.0054223,0.0135738,0.3373807,0.259686
DNCL2A,0.0731816,0.1180224,0.0138419,0.00987,0.2040604,0.154113,,0.0628376,0.1267676,0.01374,0.003785,0.1605097,0.1423385,,0.078399,0.0710118,0.0094126,0.0120339,0.1319557,0.1291557
LGALS4,0.1800845,0.0958088,0.0284141,0.0159144,0.2872977,0.143681,,0.1559292,0.0983157,0.0201361,0.0047295,0.363811,0.1701893,,0.1270005,0.0841678,0.0074882,-0.0020967,0.3694697,0.1359864
DNCL2B,0.0802101,0.1175896,0.0234996,0.0261565,0.248372,0.2695353,,0.0731509,0.1343234,0.0194307,0.0202994,0.2531022,0.1945814,,0.1024819,0.0945287,0.0138612,0.0188603,0.2414346,0.1890575
LGALS2,0.2526721,0.0650305,0.0157144,0.0434571,0.380793,0.2496068,,0.1806075,0.0993621,0.0110195,0.0295565,0.3156429,0.1369498,,0.2500668,0.0524497,0.0038914,0.0250405,0.2712159,0.1916953
DNCLI2,0.1062736,0.0601919,0.0086805,0.0062514,0.1923998,0.268381,,0.1239285,0.0787249,0.0043868,0.0040054,0.2485245,0.317522,,0.0611965,0.0444283,0.002533,0.0061298,0.1778651,0.182779
LGALS12,0.0998273,0.1681217,0.0154904,0.0220503,0.2508997,0.2176781,,0.0839122,0.107536,0.0081755,0.0170031,0.2555234,0.1940814,,0.0907006,0.1048726,0.0101807,0.0137671,0.2374528,0.1472728
DRG1,0.0981627,0.0614592,0.0221941,0.0112596,0.3135472,0.1143734,,0.0834378,0.0569065,0.0184133,0.0070562,0.1985141,0.077403,,0.0709743,0.0462203,0.0073005,0.0096695,0.2017061,0.0772111
LEF1,0.200226,0.1092186,0.0273892,0.0210612,0.5801483,0.3446593,,0.1335187,0.0854779,0.0234577,0.0192163,0.4250092,0.2375637,,0.1032977,0.0390785,0.0085567,0.0081156,0.3108635,0.1837482
DRG2,0.1066544,0.1634028,0.0164063,0.0200786,0.3239524,0.2636374,,0.0909892,0.1579664,0.0097802,0.0104209,0.2911115,0.2112177,,0.0828175,0.0555771,0.0104576,0.0092769,0.3097223,0.2212121
LBP,0.1921419,0.2971191,0.0379435,0.052594,0.6909942,0.2966975,,0.1943956,0.2374417,0.0214248,0.0489429,0.5714916,0.2493335,,0.1616335,0.1119696,0.0064499,0.0202526,0.5411433,0.2100075
ARID3B,0.1120991,0.4350648,0.0084091,0.0212166,0.1941167,0.1605485,,0.1338054,0.3412655,0.0082429,0.0099713,0.1786478,0.1910882,,0.1767553,0.1758017,0.0059461,0.0195491,0.2065137,0.1572342
LAG3,0.2700066,0.3094467,0.0247125,0.0340316,0.4556413,0.2829037,,0.2484263,0.1774744,0.0206234,0.0181637,0.5186111,0.2297896,,0.1857275,0.1722077,0.0087878,0.0201106,0.553718,0.2181749
DRPLA,0.0745648,0.1070786,0.0179476,0.026878,0.3343279,0.2448501,,0.1122056,0.0712563,0.0012724,0.0086757,0.3009886,0.1737452,,0.0888533,0.0454288,0.0064302,0.0123593,0.295454,0.2133649
DSC1,0.1287814,0.0801893,0.0240967,0.0197293,0.173025,0.117711,,0.0804928,0.058867,0.014823,0.0190168,0.2120449,0.1340838,,0.09442,0.0379537,0.0082461,0.0146081,0.1526339,0.0980243
DAAM2,0.0695885,0.0918265,0.0155213,0.0042056,0.2432874,0.1499783,,0.049263,0.0876205,0.0048887,-0.0006447,0.1583722,0.1696807,,0.0929171,0.0426623,0.0061463,0.0003615,0.2050866,0.1959575
D1S155E,0.0942557,0.0827294,0.0122428,0.0149011,0.4476029,0.0639967,,0.1086181,0.0612489,0.0075893,0.013676,0.3171191,0.0740208,,0.0890429,0.060778,0.0095356,0.017927,0.348622,0.0734965
NCKIPSD,0.0644861,0.152736,0.0133363,0.019977,0.1987819,0.1732618,,0.0697991,0.1568771,0.0124308,0.0231213,0.2277328,0.1638384,,0.067725,0.14305,0.0188313,0.013849,0.2766843,0.158419
CYR61,0.0546854,0.8440299,0.0237713,0.012701,0.6231063,0.1279056,,0.0634785,0.5776224,0.0205934,0.0132158,0.6112193,0.1485322,,0.058433,0.2895049,0.0206989,0.0097544,0.4143985,0.1337612
AGC1,0.1327967,0.2005362,0.0064174,0.017249,0.3258968,0.2789375,,0.1497534,0.2366579,0.0134119,0.022925,0.3821616,0.2483934,,0.0995445,0.1228697,0.0134209,0.0149999,0.2894112,0.1472355
CYBA,0.0589737,0.8924059,0.0199102,0.0442448,0.408915,0.470916,,0.0574594,0.6461277,0.0200061,0.0378604,0.3743004,0.489859,,0.0452698,0.2209167,0.0124286,0.0201656,0.3156129,0.3899788
AIF1,0.1084594,0.2012369,0.0260197,0.0295241,0.3283569,0.3167926,,0.1161406,0.2312215,0.023101,0.0222532,0.3825434,0.2163861,,0.1396369,0.1201938,0.0110472,0.0128148,0.393944,0.2622611
CUGBP2,0.1555366,0.2505841,0.031585,0.0409923,0.3265733,0.2319646,,0.1691277,0.1960456,0.0189285,0.0438798,0.28823,0.2073535,,0.1046659,0.0962926,0.0235974,0.027784,0.2655658,0.223414
AIM2,0.2397259,0.0701885,0.0145906,0.0186019,0.2976933,0.081703,,0.1521574,0.0717264,0.017285,0.0164145,0.3185407,0.064887,,0.1756687,0.0622405,0.0145409,0.0155778,0.2829694,0.0663648
CTNNBIP1,0.1196264,0.2600027,0.0094182,0.0278361,0.3173791,0.1837301,,0.11147,0.2428625,0.0058219,0.0296434,0.2394174,0.1985042,,0.0963116,0.1323084,0.0042349,0.0177692,0.2731084,0.1412366
AKAP2,0.092379,0.0862795,0.0095385,0.0123504,0.1639938,0.2135034,,0.0652044,0.0936524,0.0116845,0.017791,0.2682158,0.2398852,,0.093731,0.0659294,0.0127093,0.0087376,0.3578458,0.3213066
CTGF,0.1537922,0.2155521,0.019276,0.0199792,0.3243671,0.2286585,,0.1129423,0.2018067,0.0153952,0.0202374,0.3805374,0.2307937,,0.193509,0.2047595,0.0281263,0.022501,0.3347031,0.2880134
